hash;ball;egkr;a1;a2;a3;ag;g1;g2;g3;gg;i1;i2;i3;ia;ig;f1;f2;f3;fa;fg;r1;r2;r3;ra;rg;pri;prm;prf;prr
25A968CC3ED41E129A6174B8FB71819C;90;80;5;4;4;4;4;4;5;5;4;4;4;5;4;5;4;4;4;4;4;4;4;4;4;0;5;0;0
556FC4F2EA179AAB1F030CBD8A0C4289;90;78;3;4;4;4;4;3;5;4;4;4;5;4;4;4;4;3;4;4;4;5;4;4;4;0;4;0;0
773BE4FF62A360EFF224B13D9775FF41;90;85;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;0;5;5;0
476F9588F5BB17974F4C363873FB28C2;90;67;4;4;5;5;5;5;5;5;5;5;5;5;5;4;5;5;5;5;5;5;5;5;5;5;0;3;0
4F74132CCB92FB5717786CE305CD90BA;88;75;5;5;4;5;5;4;5;5;3;4;4;4;4;3;3;3;3;3;4;5;5;4;4;0;0;3;0
87C91A07E46D9FFBEA11E89908131E53;88;88;3;4;4;4;4;3;3;3;4;4;4;3;4;4;4;4;4;4;4;4;4;4;4;3;4;4;0
10117753AA4A8A0D25F1A84E7F52B18A;88;93;4;4;4;4;3;3;4;3;3;4;4;4;4;3;3;3;3;3;4;5;5;5;5;4;4;0;0
5EF0AF578B4F85BA1527899BF4491077;88;98;5;5;4;5;5;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4;0
10117753AA4A8A0D25F1A84E7F52B18A;88;80;5;5;5;5;5;4;5;5;5;5;5;5;5;4;5;5;5;5;5;5;5;5;5;5;5;3;0
F06A1E69C22CB14382BEE4729EBEBCDA;88;75;4;4;4;4;4;4;4;4;4;3;3;3;3;4;4;4;4;4;4;4;4;4;4;0;4;4;0
19E385F8029DB9A59789E0532B716078;88;80;3;3;3;3;4;3;4;4;4;3;4;4;4;4;4;4;4;4;4;3;4;4;4;4;4;3;4
07CFC920D7969F4BCFB2E90D31AA9EA3;88;88;4;4;4;4;4;5;5;5;4;4;4;4;4;4;4;4;4;4;5;5;5;5;5;4;5;0;5
EB7E290DD6713398DCBCC546DB25D593;85;75;4;4;5;5;5;4;5;5;4;5;4;4;4;4;4;5;4;4;4;4;4;4;4;5;5;4;4
B59AC84DF9E5291449717F352A478062;85;72;4;4;4;4;5;4;5;5;3;5;5;5;5;4;3;4;4;4;4;4;4;4;4;5;5;3;4
062BAF2A2B5DED6C50BDD76F49EC9372;85;93;3;3;4;3;3;3;3;3;3;4;4;4;4;3;3;3;4;3;3;3;4;3;3;0;3;0;0
DF84E26B48E865B04AC6F3656F599063;85;59;4;4;4;4;5;4;4;4;4;4;4;3;4;3;4;4;4;4;4;4;5;4;4;0;4;0;0
341EF4B15D49B7D7F6003C5CB2CAD192;85;70;4;4;5;5;5;5;5;5;5;4;4;5;4;5;5;5;5;5;4;5;5;4;5;0;5;4;0
742BB883AAAED99F2FC2EFCD2B5A7FF5;85;64;3;3;4;3;3;3;3;3;4;3;4;4;4;4;4;4;4;4;4;5;4;4;4;0;0;0;0
C0BECA437AF637FB79A7DDF8603FE938;83;75;4;4;4;4;5;4;5;5;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;5;3;0
F160A2B36D6F1AC072CF5B00950B575F;83;75;4;4;4;4;5;4;5;5;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;5;3;0
743EC263BA8A3B43F157FC5C2B9392A2;83;70;4;3;3;4;4;3;4;4;2;4;3;3;4;3;2;4;3;3;5;4;4;4;4;4;3;0;0
68F89326F6FD8082470BF0F0515DFCE5;83;70;3;3;3;3;3;3;3;3;3;3;4;4;4;4;3;3;3;4;4;4;3;4;4;3;4;4;0
671CF31B67F9BC8B69462CBB365858BB;83;67;5;5;5;5;5;5;5;5;5;5;5;4;5;5;5;4;5;5;5;5;4;5;5;4;5;4;0
1A3F11A5C5F82DE7C4008252FF6B6550;83;70;3;3;4;3;4;4;4;4;3;4;4;3;4;4;3;4;4;4;4;4;4;4;4;0;4;4;0
CED22778BA2D72B9FCB56FA646509249;83;67;4;4;4;4;3;3;3;3;4;4;4;4;4;4;4;4;4;4;4;4;5;4;4;4;4;4;0
DF84E26B48E865B04AC6F3656F599063;83;62;4;4;5;5;4;4;4;4;4;4;4;4;4;4;4;5;4;4;4;4;5;4;4;0;4;4;0
6CB6CA183D3D8F0EEAD8FF717754BFA6;83;62;5;4;4;4;4;3;3;3;4;5;4;5;4;4;4;3;4;4;4;4;4;4;4;0;4;0;0
4C406B43B07D00DE3541DB99A42CB4AB;83;80;5;4;4;4;4;4;5;5;4;4;4;5;4;5;4;4;4;4;4;4;4;4;4;0;5;0;0
420640F19200B144AD62000E0D697F1A;83;75;5;4;5;5;5;4;5;5;5;4;4;4;4;4;5;5;5;5;4;5;5;4;5;0;5;4;0
EC720630287FFB7D85F953A76D2E1426;80;78;4;4;4;4;4;4;4;4;4;4;4;4;4;5;4;5;4;5;4;4;4;4;4;0;4;4;0
73FEAD7CBD6424BAB813F88DCB0AAA9D;80;75;4;4;4;4;4;4;5;4;5;4;5;5;5;4;5;5;4;5;4;4;5;4;4;0;0;4;0
E7AF6424C48BFBEF1233A92467A4577D;80;88;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;3;5;4;4;4;0;4;0
244F7329A6B32BF8CD6DB4BCB3B42DE7;80;67;4;4;4;4;3;3;4;4;4;3;4;4;3;4;4;4;4;4;4;5;5;5;5;0;0;0;0
AD6CBA64C5661571D5EE2660C8A48666;80;75;4;4;5;5;5;5;5;5;5;5;5;5;5;4;5;5;5;5;5;5;5;5;5;5;0;3;0
0D03730A001707C801B2921DCDEE3B14;80;78;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;5;4;4;4;0;3;0
7D49350492D9F8433852A4EEE0ABC3C8;80;72;3;3;4;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;3;5;4;4;4;0;3;0
4F74132CCB92FB5717786CE305CD90BA;80;75;4;4;4;4;4;4;5;5;3;5;3;4;5;4;3;4;4;4;4;4;4;4;4;4;4;4;0
2244F68FCAA42D98ADA940014F148BCE;80;83;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;4;3;3;4;3;4;4;4;0;4;0;0
478E1DF8DA85914E00AA304C5F870A04;80;59;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;4;3;3;4;3;4;4;4;0;4;0;0
D8E0CE9744BCF8B86A23022FBF0620A4;78;75;4;4;4;4;4;3;3;3;3;4;4;3;4;4;3;4;3;4;5;5;4;5;5;4;4;0;0
9F9C7C5F8E417A13522DC63CE78AD8A4;78;70;4;4;4;4;4;3;4;4;4;3;3;4;3;4;4;4;4;4;4;4;5;4;4;4;5;4;0
1F3AFB8197FD6E5772F3F0056EC76345;78;85;5;5;4;5;5;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4;0
F06A1E69C22CB14382BEE4729EBEBCDA;78;67;3;3;3;3;3;4;3;4;3;4;3;3;3;2;3;3;3;3;4;4;3;4;4;3;4;0;0
868B2AE982A6C037512F08F0A55E54F4;78;62;3;3;3;3;3;4;3;4;3;4;3;3;3;2;3;3;3;3;4;4;3;4;4;3;4;0;0
C8E788DD1822E42A54CD27F13157FA5B;78;62;3;3;4;3;4;3;3;4;4;4;3;3;3;3;4;3;4;3;3;3;3;3;3;4;4;3;0
868B2AE982A6C037512F08F0A55E54F4;78;78;5;5;5;5;5;4;5;5;5;5;5;5;5;4;5;5;5;5;5;5;5;5;5;5;5;3;0
5B2E988C5E162EBF95240332620978B4;78;64;3;3;3;3;3;4;3;4;3;4;3;3;3;3;3;3;3;3;4;4;4;4;4;0;3;0;0
61D05A64128A0DEF9C39940BC78BC044;75;90;4;4;4;4;4;3;4;4;3;4;4;4;4;3;3;4;4;3;5;5;5;5;5;0;4;0;0
D220D9BCD25960B51ED8C8C5F645E2AB;75;78;4;4;4;4;4;5;5;5;4;3;3;3;3;4;4;5;4;4;5;4;5;5;5;0;4;4;0
1F1F898F9699018393E767C608A884CB;75;67;4;4;4;4;4;5;5;5;4;3;3;3;3;4;4;5;4;4;5;4;5;5;5;0;4;4;0
19B7D13A32ABE32DA4DB93C5BC91EE30;75;72;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;5;4;5;4;4;5;4;4;5;4;4;0
42588F1014FD9CAC2A18DBC06A891415;75;59;3;3;3;3;2;3;3;3;2;3;3;4;3;3;2;3;3;3;3;4;4;4;4;0;3;0;0
F0E509866F6112BB12A8918FA2DD6B14;75;59;4;4;4;4;5;3;5;4;4;4;4;4;4;5;4;4;4;4;5;4;4;4;4;0;4;0;0
5302FF8B15BA98396CB7FC4B3CAEC184;75;64;4;4;5;5;4;4;4;4;4;4;4;4;4;4;4;5;4;4;4;4;5;4;4;0;4;4;0
960E9082E71BFD0664B71B4EF2C7CC1A;75;48;4;4;4;4;4;3;3;3;3;4;4;3;4;4;3;4;3;4;5;5;4;5;5;4;4;0;0
72B9E3626BCD2EAB4FC82F2FEB7118F2;72;72;3;3;3;3;3;3;3;3;3;4;3;4;3;3;3;3;3;3;4;4;3;4;4;4;4;3;0
960E9082E71BFD0664B71B4EF2C7CC1A;72;51;3;3;3;3;3;3;3;3;3;5;4;5;4;3;3;3;3;3;3;3;3;3;3;4;3;0;0
996EBC2FAC674721583972475D115AC7;70;62;4;5;4;4;5;4;4;4;4;5;5;5;5;4;4;5;4;4;5;5;5;5;5;5;5;4;5
BBBCD02D27D0D22D52ECD31DCB6D3689;70;64;5;5;5;5;4;5;5;5;4;5;5;5;5;5;4;5;5;5;5;5;5;5;5;5;5;5;5
4C3E97B39151DB2DB2510211636F6EBC;70;50;4;4;4;4;5;3;5;4;4;4;4;4;4;5;4;4;4;4;5;4;4;4;4;0;4;0;0
4C3E97B39151DB2DB2510211636F6EBC;70;72;4;4;4;4;5;4;4;4;4;4;4;5;4;4;4;5;4;4;3;4;4;4;4;0;4;3;0
4F74132CCB92FB5717786CE305CD90BA;70;59;5;4;5;5;5;4;5;5;5;4;4;4;4;4;5;5;5;5;4;5;5;4;5;0;5;4;0
4F74132CCB92FB5717786CE305CD90BA;70;62;4;4;4;4;4;4;4;4;4;4;4;4;4;5;4;5;4;5;4;4;4;4;4;0;4;4;0
0246F8F82B6D001BA0EF8DB77C71CF5D;70;54;4;3;4;4;4;4;5;4;3;4;4;4;4;3;3;4;4;3;4;4;4;4;4;4;0;3;0
DF84E26B48E865B04AC6F3656F599063;70;48;4;4;4;4;3;3;4;4;4;3;4;4;3;4;4;4;4;4;4;5;5;5;5;0;0;0;0
E2BA3A5E9B82494FA9138BAB4D19E343;67;59;3;4;4;4;3;3;4;4;4;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;0;3;0
9F9C7C5F8E417A13522DC63CE78AD8A4;67;59;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;4;3;4;4;4;3;3;0;0
5EF0AF578B4F85BA1527899BF4491077;67;70;3;3;4;3;3;3;4;4;3;4;3;3;4;3;3;4;4;3;3;3;5;4;4;0;4;3;0
73FEAD7CBD6424BAB813F88DCB0AAA9D;67;51;5;5;5;5;5;4;4;5;4;4;4;4;4;4;4;4;5;4;5;5;5;5;5;4;5;4;0
F06A1E69C22CB14382BEE4729EBEBCDA;67;56;4;4;4;4;5;4;4;4;3;4;4;4;4;3;3;3;3;3;4;3;3;3;3;4;4;3;0
DF84E26B48E865B04AC6F3656F599063;64;70;4;4;4;4;4;3;4;4;4;4;3;4;4;3;4;4;4;4;3;4;4;4;4;4;4;3;0
E69A1796274073148D1630E90D6C2212;64;56;4;3;4;4;4;3;4;4;3;3;4;4;4;3;3;3;3;3;4;4;3;4;4;3;3;0;0
3D6B91E199F2A89D99CD802CBCBDC919;64;56;3;3;3;3;3;4;4;4;3;3;4;4;4;4;3;4;3;4;4;4;4;4;4;4;4;3;4
868B2AE982A6C037512F08F0A55E54F4;64;34;3;3;3;3;4;3;3;3;3;3;3;4;3;3;3;3;3;3;3;3;3;3;3;3;4;0;3
419D28404A6B4DDDDB40789CEDF6EB13;64;27;4;3;3;4;4;3;3;3;3;3;3;3;3;3;3;3;3;3;5;4;4;4;4;3;4;0;4
4544DBC9E20B5B3C3F72853A110F3522;62;51;4;4;4;4;4;4;4;4;4;4;3;4;4;4;4;4;4;4;5;5;5;5;5;4;5;0;5
C03EAC2F4F8F198A37B775D17284492A;62;62;3;2;3;3;5;4;5;5;3;3;4;3;3;4;3;4;3;4;4;4;4;4;4;4;5;3;4
EC720630287FFB7D85F953A76D2E1426;62;62;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;0;5;5;0
CDAD43CE3CE5F05C85D4F201EECD06C1;62;48;4;3;3;3;3;3;4;3;4;4;4;4;4;3;4;4;4;4;4;4;4;4;4;0;3;0;0
9C034F33774EF944F21108A641EAEF5C;62;59;3;3;3;3;3;3;4;3;3;3;4;4;4;4;3;5;4;4;4;4;5;4;4;0;3;3;0
9F9C7C5F8E417A13522DC63CE78AD8A4;62;59;4;3;4;4;4;4;5;4;3;4;4;4;4;3;3;4;4;3;4;4;4;4;4;4;0;3;0
9F9C7C5F8E417A13522DC63CE78AD8A4;59;34;4;4;4;4;4;4;5;5;3;5;3;4;5;4;3;4;4;4;4;4;4;4;4;4;4;4;0
382E4509A810CB3C3E959617F865FE47;59;27;4;4;4;4;3;3;4;3;3;4;4;4;4;4;3;4;4;4;5;4;4;4;4;5;4;3;0
AD6CBA64C5661571D5EE2660C8A48666;59;43;4;4;5;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;5;4;5;4;5;0;5;4;0
D09702A37592EA8AB8ABD941090B3D6A;59;54;4;3;3;3;4;3;3;3;2;3;4;4;4;3;2;3;3;3;4;3;4;4;4;4;4;3;0
275A229EFEFC975791414C02D2212657;59;54;4;4;4;4;3;3;3;3;4;4;4;4;4;4;4;4;4;4;4;4;5;4;4;4;4;4;0
EC720630287FFB7D85F953A76D2E1426;56;46;4;4;4;4;4;4;4;4;4;4;4;4;4;3;4;4;4;4;4;4;5;4;4;4;4;3;0
EE1B7C7E65E944B4AC4F75DACB200085;56;59;3;3;4;3;4;3;3;3;4;4;3;3;4;3;4;3;3;3;4;4;3;4;4;0;3;4;0
9F9C7C5F8E417A13522DC63CE78AD8A4;56;40;4;4;4;4;4;4;4;4;4;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;0
263BB40E53624F6C1A37B6614141F117;54;54;4;3;4;4;4;3;4;4;3;4;3;3;4;3;3;3;3;3;4;4;4;4;4;3;3;0;0
8CC0AA3F1456430EEB3A61ED3DB7C6D3;54;43;3;3;3;3;4;3;4;4;3;5;4;4;5;4;3;3;4;3;4;4;4;4;4;4;5;3;3
DF84E26B48E865B04AC6F3656F599063;54;46;4;4;4;4;5;4;5;5;4;4;4;5;5;3;4;4;4;4;4;4;4;4;4;5;5;3;4
